facility_id,registered_business_name,facility_name,suburb,state,postcode,latitude,longitude,primary_anzsic_class_name,main_activities,first_report_year,latest_report_year
482970,ACT HEALTH,THE CANBERRA HOSPITAL,Canberra,ACT,2605.0,-35.347,149.102,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 500 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY. CLINICAL TEACHING SCHOOL FACILITY, MENTAL HEALTH FACILITIES",,
483002,ACTEW CORPORATION LTD,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE - INCINERATOR,Holt,ACT,2615.0,-35.247,148.974,Waste Treatment and Disposal Services,INCINERATION OF SEWAGE SLUDGE,,
482744,ACTEWAGL,LMWQCC - Incinerator,Holt,ACT,2615.0,-35.249,148.974,Waste Treatment and Disposal Services,Incineration of sewage sludge,,
574168,AMPOL AUSTRALIA PETROLEUM PTY LTD,Ampol Canberra Aviation,Majura,ACT,2609.0,-35.302,149.182,Petroleum Product Wholesaling,PETROLEUM PRODUCT WHOLESALING,,
602274,APT MANAGEMENT SERVICES PTY LIMITED,Canberra Meter Station,Gungahlin,ACT,2912.0,-35.215,149.18,Gas Supply,Metering Gas Flow to Canberra,,
482958,AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY,Acton,ACT,2601.0,-35.283,149.117,Higher Education,TERTIARY EDUCATION AND RESEARCH,,
483040,BITUPAVE LTD,Boral Mugga asphalt,Symonston,ACT,2609.0,-35.369,149.132,Other Petroleum and Coal Product Manufacturing,Land-based extractive activity,,
580540,BORAL RESOURCES (COUNTRY) PTY LTD,Boral Mugga Lane Quarry,Symonston,ACT,2609.0,-35.367,149.137,Other Construction Material Mining,"Land based extractive industry; Crushing, Grinding and Separating.",,
482606,CALTEX PETROLEUM SERVICES PTY LTD,Fyshwick Depot t/as Caltex Energy NSW,Fyshwick,ACT,2609.0,-35.331,149.177,Petroleum Product Wholesaling,PETROLEUM PRODUCT WHOLESALING,,
482872,CALVARY HEALTH CARE ACT LTD,CALVARY HEALTH CARE ACT LIMITED,Bruce,ACT,2617.0,-35.253,149.09,Hospitals (Except Psychiatric Hospitals),HEALTHCARE FACILITY (HOSPITAL),,
482626,CANBERRA INTERNATIONAL AIRPORT PTY LTD,CANBERRA INTERNATIONAL AIRPORT,Canberra,ACT,2609.0,-35.303,149.19,Air and Space Transport,CAPITAL CITYAIRPORT,,
548264,COOPER COFFMAN WINE COMPANY PTY LTD,Coffman & Lawson Wine Co Pty Ltd,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,Wine Production & Contract Bottling,,
482990,CSIRO,BLACK MOUNTAIN,Acton,ACT,2601.0,-35.275,149.112,Scientific Research Services,"SCIENTIFIC AND INDUSTRIAL RESEARCH FACILITIES SPECIALISING IN PLANT RESEARCH, ENTMOLOGY, LAND AND WATER SCIENCES, ATMOSPHERIC RESEARCH AND EDUCATION.",,
483212,DEPARTMENT OF DEFENCE,Australian Defence Force Academy,Campbell,ACT,2612.0,-35.291,149.167,Higher Education,Australian Defence Force Military and Leadership Training,,
483242,DEPARTMENT OF DEFENCE,Command and Staff College,Weston Creek,ACT,2611.0,-35.319,149.058,Defence,Education establishment,,
554018,DEPARTMENT OF DEFENCE,HMAS Harman,Harman,ACT,2600.0,-35.346,149.199,Defence,Education Establishment,,
483222,DEPARTMENT OF DEFENCE,Royal Military College Duntroon,Duntroon,ACT,2600.0,-35.3,149.167,Higher Education,Officer training establishment,,
483202,DEPARTMENT OF DEFENCE,Russell Offices,Canberra,ACT,2600.0,-35.298,149.151,Defence,Australian Defence Force Administrative Headquarters,,
483018,DEPARTMENT OF PARLIAMENTARY SERVICES,AUSTRALIAN PARLIAMENT HOUSE,Canberra Parliament House,ACT,2600.0,-35.308,149.124,Central Government Administration,"The purpose of DPS is to support the work of the Australian Parliament by providing effective, high quality and sustainable services to parliamentarians and building occupants. As custodians of Australian Parliament House we are responsible for delivering a broad range of services and experiences that enable engagement with the parliamentary process.",,
482586,DIB GROUP,Hill & Co Fyshwick Depot,Fyshwick,ACT,2609.0,-35.329,149.172,Petroleum Product Wholesaling,PETROLEUM PRODUCT STORAGE AND WHOLESALING,,
586396,DOWNER EDI WORKS PTY LTD,Hume Asphalt Plant,Hume,ACT,2620.0,-35.4,149.163,Other Petroleum and Coal Product Manufacturing,Asphalt Production and Spray Seal Operations,,
482906,EDL LFG (ACT) P/L,West Belconnen,Macgregor,ACT,2615.0,-35.213,148.984,Other Electricity Generation,,,
620204,ELGAS LIMITED,Elgas Limited Canberra AU005,Fyshwick,ACT,2609.0,-35.332,149.167,Petroleum Product Wholesaling,"Import, handling and distribution of LPG",,
572414,ENSIGN SERVICES (AUST) PTY LTD,Spotless Linen Services,Fyshwick,ACT,2609.0,-35.332,149.171,Laundry and Dry-Cleaning Services,Laundry,,
482674,GEORGE WESTON FOODS LIMITED,TIP TOP CANBERRA,Canberra,ACT,2603.0,-35.321,149.151,Bread Manufacturing (Factory based),site is closed,,
482944,HARDY WINE CO LTD,KAMBERRA WINE & TOURISM COMPLEX,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,WINEMAKING,,
482866,HEALTH DIRECTORATE,THE CANBERRA HOSPITAL,Canberra,ACT,2605.0,-35.345,149.101,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 550 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY, CLINICAL SCHOOL TEACHING FACILITY, MENTAL HEALTH FACILITIES",,
482636,ICON WATER LIMITED,LOWER MOLONGLO WATER QUALITY CONTROL CENTRE,Holt,ACT,2615.0,-35.247,148.971,Sewerage and Drainage Services,SEWAGE TREATMENT WORKS,,
482848,ICON WATER LIMITED,STROMLO WATER TREATMENT PLANT,Stromlo,ACT,2611.0,-35.327,148.999,Water Supply,"WATER TREATMENT INCLUDING FILTRATION. PH CORRECTION, FLUORIDATION AND DISINFECTION",,
482814,IMSEP PTY LTD,NATIONAL CAPITAL PRINTING,Fyshwick,ACT,2609.0,-35.328,149.17,Printing,Offset Lithographic Printing,,
482830,INTEGRATED FOREST PRODUCTS P/L,INTEGRATED FOREST PRODUCTS (Receivers & Managers Appointed),Hume,ACT,2620.0,-35.405,149.149,Log Sawmilling,TIMBER PROCESSING PLANT (BUILDING GRADE),,
483048,JOINT HOUSE DEPARTMENT,Parliament House,Capital Hill,ACT,2600.0,-35.308,149.124,Central Government Administration,Australian Federal Parliament,,
