station_name,station_latitude,station_longitude,facility_id,facility_name,registered_business_name,suburb,state,postcode,facility_latitude,facility_longitude,primary_anzsic_class_name,main_activities,distance_km,within_5km,within_10km,within_5_to_10km
Civic,-35.285,149.132,482958,AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY,Acton,ACT,2601.0,-35.283,149.117,Higher Education,TERTIARY EDUCATION AND RESEARCH,1.37,1,1,0
Civic,-35.285,149.132,482990,BLACK MOUNTAIN,CSIRO,Acton,ACT,2601.0,-35.275,149.112,Scientific Research Services,"SCIENTIFIC AND INDUSTRIAL RESEARCH FACILITIES SPECIALISING IN PLANT RESEARCH, ENTMOLOGY, LAND AND WATER SCIENCES, ATMOSPHERIC RESEARCH AND EDUCATION.",2.108,1,1,0
Civic,-35.285,149.132,483202,Russell Offices,DEPARTMENT OF DEFENCE,Canberra,ACT,2600.0,-35.298,149.151,Defence,Australian Defence Force Administrative Headquarters,2.265,1,1,0
Civic,-35.285,149.132,483048,Parliament House,JOINT HOUSE DEPARTMENT,Capital Hill,ACT,2600.0,-35.308,149.124,Central Government Administration,Australian Federal Parliament,2.619,1,1,0
Civic,-35.285,149.132,483018,AUSTRALIAN PARLIAMENT HOUSE,DEPARTMENT OF PARLIAMENTARY SERVICES,Canberra Parliament House,ACT,2600.0,-35.308,149.124,Central Government Administration,"The purpose of DPS is to support the work of the Australian Parliament by providing effective, high quality and sustainable services to parliamentarians and building occupants. As custodians of Australian Parliament House we are responsible for delivering a broad range of services and experiences that enable engagement with the parliamentary process.",2.654,1,1,0
Civic,-35.285,149.132,483212,Australian Defence Force Academy,DEPARTMENT OF DEFENCE,Campbell,ACT,2612.0,-35.291,149.167,Higher Education,Australian Defence Force Military and Leadership Training,3.254,1,1,0
Civic,-35.285,149.132,483222,Royal Military College Duntroon,DEPARTMENT OF DEFENCE,Duntroon,ACT,2600.0,-35.3,149.167,Higher Education,Officer training establishment,3.579,1,1,0
Civic,-35.285,149.132,483044,Sydney Trains Canberra Refuelling Facility,RAIL CORPORATION NEW SOUTH WALES,Kingston,ACT,2604.0,-35.319,149.156,Railway Rolling Stock Manufacturing and Repair Services,Rollingstock refuelling,4.376,1,1,0
Civic,-35.285,149.132,482674,TIP TOP CANBERRA,GEORGE WESTON FOODS LIMITED,Canberra,ACT,2603.0,-35.321,149.151,Bread Manufacturing (Factory based),site is closed,4.391,1,1,0
Civic,-35.285,149.132,482936,ROYAL AUSTRALIAN MINT,ROYAL AUSTRALIAN MINT,Deakin,ACT,2600.0,-35.316,149.096,Jewellery and Silverware Manufacturing,"Manufacturing Australian circulating currency, collector coins and medallions.",4.687,1,1,0
Civic,-35.285,149.132,574168,Ampol Canberra Aviation,AMPOL AUSTRALIA PETROLEUM PTY LTD,Majura,ACT,2609.0,-35.302,149.182,Petroleum Product Wholesaling,PETROLEUM PRODUCT WHOLESALING,4.91,1,1,0
Civic,-35.285,149.132,482872,CALVARY HEALTH CARE ACT LIMITED,CALVARY HEALTH CARE ACT LTD,Bruce,ACT,2617.0,-35.253,149.09,Hospitals (Except Psychiatric Hospitals),HEALTHCARE FACILITY (HOSPITAL),5.257,0,1,1
Civic,-35.285,149.132,482922,ADVANTAGE PETROLEUM,THE SHELL CO OF AUST LTD,Fyshwick,ACT,2609.0,-35.305,149.187,Petroleum Product Wholesaling,AIRCRAFT REFUELIING,5.447,0,1,1
Civic,-35.285,149.132,482656,CANBERRA DEPOT,WESTOIL PETROLEUM P/L,Fyshwick,ACT,2609.0,-35.305,149.187,Petroleum Product Wholesaling,PETROLEUM STORAGE AND WHOLESALING,5.509,0,1,1
Civic,-35.285,149.132,482724,Shell Fyshwick Depot,THE SHELL COMPANY OF AUSTRALIA LTD,Fyshwick,ACT,2609.0,-35.328,149.166,Petroleum Product Wholesaling,HYDROCARBON STORAGE AND DISTRIBUTION,5.613,0,1,1
Civic,-35.285,149.132,483030,CANBERRA AIRPORT,MOBIL OIL AUST PTY LTDL,Pialligo,ACT,2609.0,-35.303,149.19,Petroleum Product Wholesaling,PETROLEUM PRODUCT STORAGE AND WHOLESALING,5.641,0,1,1
Civic,-35.285,149.132,482626,CANBERRA INTERNATIONAL AIRPORT,CANBERRA INTERNATIONAL AIRPORT PTY LTD,Canberra,ACT,2609.0,-35.303,149.19,Air and Space Transport,CAPITAL CITYAIRPORT,5.641,0,1,1
Civic,-35.285,149.132,482822,THE CANBERRA TIMES,RURAL PRESS PTY LTD,Canberra,ACT,2609.0,-35.326,149.169,Newspaper Publishing,Newspaper production,5.652,0,1,1
Civic,-35.285,149.132,548264,Coffman & Lawson Wine Co Pty Ltd,COOPER COFFMAN WINE COMPANY PTY LTD,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,Wine Production & Contract Bottling,5.821,0,1,1
Civic,-35.285,149.132,482944,KAMBERRA WINE & TOURISM COMPLEX,HARDY WINE CO LTD,Lyneham,ACT,2602.0,-35.233,149.137,Wine and Other Alcoholic Beverage Manufacturing,WINEMAKING,5.821,0,1,1
Civic,-35.285,149.132,482814,NATIONAL CAPITAL PRINTING,IMSEP PTY LTD,Fyshwick,ACT,2609.0,-35.328,149.17,Printing,Offset Lithographic Printing,5.844,0,1,1
Civic,-35.285,149.132,482586,Hill & Co Fyshwick Depot,DIB GROUP,Fyshwick,ACT,2609.0,-35.329,149.172,Petroleum Product Wholesaling,PETROLEUM PRODUCT STORAGE AND WHOLESALING,6.143,0,1,1
Civic,-35.285,149.132,620204,Elgas Limited Canberra AU005,ELGAS LIMITED,Fyshwick,ACT,2609.0,-35.332,149.167,Petroleum Product Wholesaling,"Import, handling and distribution of LPG",6.145,0,1,1
Civic,-35.285,149.132,482978,UNIVERSITY OF CANBERRA,UNIVERSITY OF CANBERRA,Canberra University Lpo,ACT,2617.0,-35.241,149.089,Higher Education,EDUCATION,6.205,0,1,1
Civic,-35.285,149.132,572414,Spotless Linen Services,ENSIGN SERVICES (AUST) PTY LTD,Fyshwick,ACT,2609.0,-35.332,149.171,Laundry and Dry-Cleaning Services,Laundry,6.326,0,1,1
Civic,-35.285,149.132,482606,Fyshwick Depot t/as Caltex Energy NSW,CALTEX PETROLEUM SERVICES PTY LTD,Fyshwick,ACT,2609.0,-35.331,149.177,Petroleum Product Wholesaling,PETROLEUM PRODUCT WHOLESALING,6.531,0,1,1
Civic,-35.285,149.132,482752,STERICORP,STERICORP LIMITED,Canberra,ACT,2911.0,-35.222,149.141,Waste Treatment and Disposal Services,INCINERATION OF BIO-MEDICAL WASTE AND ELECTRO-THERMAL DEACTIVATION OF CLINICAL AND RELATED WASTE EXCLUDING CYTOTOXIC AND ANOTOMICAL WASTE,7.043,0,1,1
Civic,-35.285,149.132,482768,CAPITAL LINEN SERVICE,TRANSPORT CANBERRA AND CITY SERVICES DIRECTORATE,Canberra,ACT,2911.0,-35.222,149.141,Laundry and Dry-Cleaning Services,"PROVIDES LINEN RENTAL AND LAUNDERING SERVICES TO A WIDE RANGE OF CLIENTS IN THE ACT REGION INCLUDING HOSPITALS, HOTELS AND RESTAURANTS",7.11,0,1,1
Civic,-35.285,149.132,482694,Canberra Bakery,QUALITY BAKERS AUSTRALIA PTY LIMITED,Fyshwick,ACT,2609.0,-35.334,149.184,Bread Manufacturing (Factory based),"Bakeries - bread, bread rolls",7.212,0,1,1
Civic,-35.285,149.132,482866,THE CANBERRA HOSPITAL,HEALTH DIRECTORATE,Canberra,ACT,2605.0,-35.345,149.101,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 550 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY, CLINICAL SCHOOL TEACHING FACILITY, MENTAL HEALTH FACILITIES",7.216,0,1,1
Civic,-35.285,149.132,482970,THE CANBERRA HOSPITAL,ACT HEALTH,Canberra,ACT,2605.0,-35.347,149.102,Hospitals (Except Psychiatric Hospitals),"PRINCIPLE 500 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY. CLINICAL TEACHING SCHOOL FACILITY, MENTAL HEALTH FACILITIES",7.317,0,1,1
Civic,-35.285,149.132,483242,Command and Staff College,DEPARTMENT OF DEFENCE,Weston Creek,ACT,2611.0,-35.319,149.058,Defence,Education establishment,7.716,0,1,1
Civic,-35.285,149.132,584386,SUPAGAS Canberra,RENEGADE GAS PTY LTD,Mitchell,ACT,2911.0,-35.21,149.135,Gas Supply,"Import, handling, and distribution of LPG",8.352,0,1,1
Civic,-35.285,149.132,602274,Canberra Meter Station,APT MANAGEMENT SERVICES PTY LIMITED,Gungahlin,ACT,2912.0,-35.215,149.18,Gas Supply,Metering Gas Flow to Canberra,8.952,0,1,1
Civic,-35.285,149.132,554018,HMAS Harman,DEPARTMENT OF DEFENCE,Harman,ACT,2600.0,-35.346,149.199,Defence,Education Establishment,9.046,0,1,1
Civic,-35.285,149.132,580540,Boral Mugga Lane Quarry,BORAL RESOURCES (COUNTRY) PTY LTD,Symonston,ACT,2609.0,-35.367,149.137,Other Construction Material Mining,"Land based extractive industry; Crushing, Grinding and Separating.",9.07,0,1,1
Civic,-35.285,149.132,483040,Boral Mugga asphalt,BITUPAVE LTD,Symonston,ACT,2609.0,-35.369,149.132,Other Petroleum and Coal Product Manufacturing,Land-based extractive activity,9.292,0,1,1
Civic,-35.285,149.132,482704,QUEANBEYAN SEWAGE TREATMENT PLANT,QUEANBEYAN CITY COUNCIL,Canberra,ACT,2620.0,-35.334,149.218,Sewerage and Drainage Services,PROCESSING OF RAW SEWAGE,9.536,0,1,1
Florey,-35.221,149.044,482808,Belconnen Landfill Operations Contract,THIESS SERVICES PTY LTD,Canberra,ACT,2603.0,-35.216,149.001,Waste Treatment and Disposal Services,Disposal of muncipal & some special waste,3.911,1,1,0
Florey,-35.221,149.044,482978,UNIVERSITY OF CANBERRA,UNIVERSITY OF CANBERRA,Canberra University Lpo,ACT,2617.0,-35.241,149.089,Higher Education,EDUCATION,4.767,1,1,0
Florey,-35.221,149.044,692416,West Belconnen Flare,LGI LIMITED,West Belconnen,ACT,2617.0,-35.214,148.987,Waste Treatment and Disposal Services,Flaring/Combustion of Landfill Gas,5.183,0,1,1
